,created_at,screen_name,text,favorite_count,retweet_count,media_type,media_url,slug,human,human_count,type,race,race_confidence,gender,gender_confidence,comments,county,coder
1.13E+18,43602.66736,AshevillePolice,#NeverForget https://t.co/Z3a5Ifih9H,2,4,photo,http://pbs.twimg.com/media/D6x-dm5WkAEvKmn.jpg,D6x-dm5WkAEvKmn.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.14E+18,43628.87083,AshevillePolice,🛈 828-252-1110,3,14,photo,http://pbs.twimg.com/media/D8467quXoAUUhI5.jpg,D8467quXoAUUhI5.jpg,1,1,3,2,2,1,2,"
",Asheville,Wilson
1.14E+18,43641.76597,AshevillePolice,APD has arrested 𝗧𝗶𝘆𝗮𝗿𝗮 𝗟𝗮𝗻𝗲𝘀𝗵𝗮 𝗟𝗼𝗰𝗸𝗹𝗲𝗮𝗿 on 2 counts of felonious child abuse after an investigation leading to serious burns on an infant. Being held on $100K bond.,2,2,photo,http://pbs.twimg.com/media/D97TL-0WwAUWJze.jpg,D97TL-0WwAUWJze.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
9.85E+17,43202.87014,AshevillePolice,The @BuncombeSheriff and Asheville Police Department (APD) have mutually agreed to dissolve our Buncombe County Anti-Crime Task Force (BCAT) partnership. Full statement below. https://t.co/qkuLnnNudw,3,10,photo,http://pbs.twimg.com/media/DanFDlKXcAIRmtp.jpg,DanFDlKXcAIRmtp.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
8.68E+17,42880.87222,AshevillePolice,"What a lovely day to be out on a bike! APD’s Downtown Unit enjoyed a group ride along the Greenway, Carrier Park and Hominy Park this morning. https://t.co/2vr0Z3xlu1",0,6,photo,http://pbs.twimg.com/media/DAs2MLSXkAIfSZw.jpg,DAs2MLSXkAIfSZw.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
9.83E+17,43199.72083,AshevillePolice,Thanks @ClaxtonElem! Hope to reciprocate the high fives in person very soon 👏 @AVLCitySchools https://t.co/jxUxgarTO1,0,0,photo,http://pbs.twimg.com/media/DaW3ahIX4AANup2.jpg,DaW3ahIX4AANup2.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
8.73E+17,42895.62917,AshevillePolice,More info: https://t.co/sF17Cv8eO0 https://t.co/YqXXUddQrH,3,3,photo,http://pbs.twimg.com/media/DB41cb9XkAQBJHK.jpg,DB41cb9XkAQBJHK.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
8.70E+17,42886.57431,AshevillePolice,"✅If you encounter someone driving recklessly, call law enforcement",0,2,photo,http://pbs.twimg.com/media/DBKNMQRXYAAgBha.jpg,DBKNMQRXYAAgBha.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
9.92E+17,43223.67431,AshevillePolice,4) Don't leave🔑or key fobs in the 🚗.,0,13,photo,http://pbs.twimg.com/media/DcSN09yXcAEvxlc.jpg,DcSN09yXcAEvxlc.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
9.97E+17,43237.60208,AshevillePolice,Earlier today Chief Zack met with a student from @abtech_cc who serves on the college's debate team. Her topic is #community policing and she sat down with Chief Zack to learn more! https://t.co/TjR71B713y,0,1,photo,http://pbs.twimg.com/media/DdZ8Z-KWAAAUVTg.jpg,DdZ8Z-KWAAAUVTg.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
8.87E+17,42934.80417,AshevillePolice,@WLOS_13 @asheville @foxcarolinanews @wyffnews4 @WSPA7 @mxnews https://t.co/jFvSYCC9FU,1,13,photo,http://pbs.twimg.com/media/DFClVW0XsAEn6RX.jpg,DFClVW0XsAEn6RX.jpg,1,1,3,2,2,1,2,"
",Asheville,Wilson
1.01E+18,43270.78194,AshevillePolice,"A BIG shout out to @HomeDepot (W. AVL) for the donation of face shields &amp; respirators! These allow officers to stay safe &amp; healthy so that they can continue to keep #Asheville safe. Yes, we realize that we were so thankful for donation, that we didn't maintain 6' of separation. https://t.co/3H5EWXCawB",4,8,photo,http://pbs.twimg.com/media/DgEztKFW4AAIm0A.jpg,DgEztKFW4AAIm0A.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.01E+18,43271.74028,AshevillePolice,✅ Use an 🚨 system. https://t.co/8GZxMaNLkI,2,9,photo,http://pbs.twimg.com/media/DgJwFDZXcAIQ21f.jpg,DgJwFDZXcAIQ21f.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
8.93E+17,42949.77361,AshevillePolice,@WLOS_13 @asheville @mxnews @newsradio570 @foxcarolinanews @WSPA7 @wyffnews4 https://t.co/VfpNeoL0TZ,0,1,photo,http://pbs.twimg.com/media/DGPqusrWsAYa1C2.jpg,DGPqusrWsAYa1C2.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.01E+18,43273.71875,AshevillePolice,"APD isn’t seeing ⬆️ B&amp;Es at this time, but we encourage owners to secure their businesses.",1,10,photo,http://pbs.twimg.com/media/DgT7nc4WsAAZs4Y.jpg,DgT7nc4WsAAZs4Y.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.01E+18,43278.67361,AshevillePolice,"Seeking #help from #Asheville to locate Shawn Thomas Johnson, open warrant for violating emergency restrictions to repeated leasing of a short-term rental in #WAVL. Johnson described as W/M, 34, 6'0"", 286lbs, brown hair, blue eyes. ",7,14,photo,http://pbs.twimg.com/media/Dgtc1jNW4AExiot.jpg,Dgtc1jNW4AExiot.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.03E+18,43319.72917,AshevillePolice,Info? 828-252-1110 or 828-255-5050 (anonymous) https://t.co/ySCY7iXHCr,4,18,photo,http://pbs.twimg.com/media/DkA30fTXsAEQBfK.jpg,DkA30fTXsAEQBfK.jpg,1,1,3,1,2,1,1,"
",Asheville,Wilson
1.03E+18,43325.51319,AshevillePolice,Who said personal protective equipment (PPE) doesn’t have to be fashionable? #Asheville https://t.co/rreLdygbMd,2,11,photo,http://pbs.twimg.com/media/DkerSJcXsAA35bi.jpg,DkerSJcXsAA35bi.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
9.13E+17,43005.80694,AshevillePolice,"Need assistance to locate #missingperson Kristen Ann Kraft. Believed to have been in the downtown area on 9/18. W/F, 39, 5'0"", 120 lbs. Salt/pepper hair, blue eyes. ",0,4,photo,http://pbs.twimg.com/media/DKwPIZ2XUAABaRK.jpg,DKwPIZ2XUAABaRK.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
9.21E+17,43027.85139,AshevillePolice,Be safe tonight.,1,5,photo,http://pbs.twimg.com/media/DMhwkz4WsAU_wlx.jpg,DMhwkz4WsAU_wlx.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
9.21E+17,43028.59444,AshevillePolice,"#HAPPYHALLOWEEN, Asheville!! 👻🎃💀👽 ",4,1,photo,http://pbs.twimg.com/media/DMllwDjWkAAcZww.jpg,DMllwDjWkAAcZww.jpg,1,1,3,1,2,1,2,REPEAT,Asheville,Wilson
1.04E+18,43364.66667,AshevillePolice,Info-8282521110 https://t.co/sxmCYGYtoD,1,8,photo,http://pbs.twimg.com/media/DnoT2iGX0AAcnjA.jpg,DnoT2iGX0AAcnjA.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.05E+18,43369.72431,AshevillePolice,#TogetherWeCan #SlowTheSpread https://t.co/47SVBUlBpU,2,10,photo,http://pbs.twimg.com/media/DoCWxFeXcAUipn5.jpg,DoCWxFeXcAUipn5.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
9.41E+17,43082.82917,AshevillePolice,"You might be stuffed from the holiday feast, but we're still thinking about last week's Chili Cook-Off hosted by @AshevilleFD benefiting United Way! ALL the chili was tasty, but two members of APD concocted some award-winning stuff! https://t.co/n7x5TMi0sK",0,5,photo,http://pbs.twimg.com/media/DQ80BsfW4AEpOBI.jpg,DQ80BsfW4AEpOBI.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
9.39E+17,43076.69444,AshevillePolice,Info? 828-252-1110 or 828-255-5050 (anonymous) https://t.co/jCdnYcCJ5N,2,10,photo,http://pbs.twimg.com/media/DQdTBH3UMAADCEc.jpg,DQdTBH3UMAADCEc.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.06E+18,43418.65278,AshevillePolice,@WLOS_13 @WSPA7 @foxcarolinanews @wyffnews4 @ChrisScottTV @asheville @AvlTraffic https://t.co/pNdrpVR2lP,1,5,photo,http://pbs.twimg.com/media/Dr-SsviX0AASCjs.jpg,Dr-SsviX0AASCjs.jpg,1,1,3,2,2,1,2,"
",Asheville,Wilson
1.07E+18,43434.56528,AshevillePolice,"The following intersections in downtown #Asheville will be closed again this evening, beginning at 5 pm in order to support peaceful protesting and to ensure pedestrian safety:",1,7,photo,http://pbs.twimg.com/media/DtQRbuQXQAEfUZ_.jpg,DtQRbuQXQAEfUZ_.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.08E+18,43454.85208,AshevillePolice,"APD is seeking the public's assistance to locate Devone Maceo James, Jr. who has been charged with 2nd degree murder in connection to a stabbing incident.",1,8,photo,http://pbs.twimg.com/media/Du4wAceXcAYnBsV.jpg,Du4wAceXcAYnBsV.jpg,1,1,3,2,2,2,1,"
",Asheville,Wilson
1.08E+18,43474.80069,AshevillePolice,@WLOS_13 @asheville @wyffnews4 @WSPA7 @foxcarolinanews @newsradio570 https://t.co/bHi8q9kMpX,0,1,photo,http://pbs.twimg.com/media/Dwfdrz0W0AEmuMC.jpg,Dwfdrz0W0AEmuMC.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
9.73E+17,43171.71736,AshevillePolice,Join us in congratulating those employees that were recognized at our monthly staff meeting,0,7,photo,http://pbs.twimg.com/media/DYGpFPWXcAE7ZX4.jpg,DYGpFPWXcAE7ZX4.jpg,1,1,3,1,2,1,2,REPEAT,Asheville,Wilson
9.79E+17,43186.62431,AshevillePolice,Today is @ChiefDavidZack first day! Please join us in welcoming him to #Asheville! https://t.co/j2WoMA6iN0,2,12,photo,http://pbs.twimg.com/media/DZTamYFVMAA9rQg.jpg,DZTamYFVMAA9rQg.jpg,1,1,3,2,2,1,2,"
",Asheville,Wilson
1.44E+18,44455.77778,AshevillePolice,"#𝐔𝐏𝐃𝐀𝐓𝐄: Andre Phillip Flunory has turned himself in and is currently at the Buncombe County Detention Center being held on a $80,000 secure bond.",66,139,photo,http://pbs.twimg.com/media/E_bWzE4XIAIvvHD.jpg,E_bWzE4XIAIvvHD.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.40E+18,44344.85417,AshevillePolice,"Detectives, like all APD officers, routinely attend training. This week our Criminal Investigations Divison partnered with Kiran, Inc. to attend a cultural awareness training on South Asian survivors of domestic violence. #alwaystraining https://t.co/lfk9QRqzcX",2,5,photo,http://pbs.twimg.com/media/E2gHe5nXwAEttcq.png,E2gHe5nXwAEttcq.png,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.40E+18,44341.75069,AshevillePolice,"@WLOS_13 @asheville @wyffnews4 @WSPA7 @foxcarolinanews @SpecNews1MTN @newsradio570 #𝗨𝗣𝗗𝗔𝗧𝗘: Compton Jouvall Daugherty has been charged and arrested. He is being held in jail on a $150,000 bond. #avlnews",1,3,photo,http://pbs.twimg.com/media/E2QIfh3XEAAeq6r.jpg,E2QIfh3XEAAeq6r.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.41E+18,44364.83333,AshevillePolice,"27 shell casings from 3 guns were located on Walton St and 1 bullet located inside an occupied home. Fortunately, no injuries.",0,6,photo,http://pbs.twimg.com/media/E4HAF08WEAcYhcE.png,E4HAF08WEAcYhcE.png,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.42E+18,44398.74236,AshevillePolice,"411 tips helped officers locate Robert Charles Banks, Jr. who had 5 open warrants and been reported in multiple community compliants. Banks was charged with new drug trafficking charges and officers seized 27.1 grams of Fentanyl, 14 grams of Marijuana, and $1,446 in cash. https://t.co/6OvZOQ9Kqc",1,3,photo,http://pbs.twimg.com/media/E61oBRQXEAEUvBX.jpg,E61oBRQXEAEUvBX.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.42E+18,44396.60417,AshevillePolice,"#LaborDay might look different this year as we continue to fight a pandemic. Some show up to work every day in PPE, others have traded offices for home, &amp; some have picked up new jobs like schooling their kids from home. No matter what your labor looks like, happy Labor Day! https://t.co/P5el0oUWNG",3,5,photo,http://pbs.twimg.com/media/E6qnyY3WUAM7bGC.jpg,E6qnyY3WUAM7bGC.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.42E+18,44414.76597,AshevillePolice,"Our South Asheville office got a wonderful #SURPRISE today from a kind resident of #Asheville! She dropped off 🍩 and ☕, as well as an amazing poster her grandson drew! #thanks #kindness https://t.co/EUNsw0Rl1Y",62,165,photo,http://pbs.twimg.com/media/E8IJvpPWEAQjcq2.jpg,E8IJvpPWEAQjcq2.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.16E+18,43690.825,AshevillePolice,APD seeking help to locate man charged with vehicle B&amp;E.,1,8,photo,http://pbs.twimg.com/media/EB3-aarX4AIzTUr.png,EB3-aarX4AIzTUr.png,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.17E+18,43707.71944,AshevillePolice,- ⬆️⬆️⬇️⬇️ (no median): all 🛑,1,0,photo,http://pbs.twimg.com/media/EDO-qXTXoAY1Yj0.png,EDO-qXTXoAY1Yj0.png,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.29E+18,44042.85833,AshevillePolice,@WLOS_13 @wyffnews4 @WSPA7 @foxcarolinanews @asheville @SpecNews1MTN https://t.co/gdaw24f3UP,2,6,photo,http://pbs.twimg.com/media/EeM42igX0AICqxU.png,EeM42igX0AICqxU.png,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.29E+18,44048.45833,AshevillePolice,"APD asking for info on 2/28 shooting on Granada Street. 3 shell casings located, no injuries reported. #avlnews",2,4,photo,http://pbs.twimg.com/media/EepufepWAAEOH3c.png,EepufepWAAEOH3c.png,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.29E+18,44054.83333,AshevillePolice,"📱submit anonymous tip on #TIP2APD app, or text 847411 w/ keyword ""tip2apd"". 📞8282521110",1,4,photo,http://pbs.twimg.com/media/EfKjT4HXgAEebe_.jpg,EfKjT4HXgAEebe_.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.18E+18,43734.54167,AshevillePolice,"If you are searching for work, we are hiring 🔍✔️",3,5,photo,http://pbs.twimg.com/media/EFZG84rWwAI8JC2.jpg,EFZG84rWwAI8JC2.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.30E+18,44076.84236,AshevillePolice,"Detectives need help to find Mahogheny Fair She broke into 🏠 while owner &amp; children were asleep. Thankfully, no one injured.",3,4,photo,http://pbs.twimg.com/media/Eg75kwbWAAE9pue.png,Eg75kwbWAAE9pue.png,1,1,3,2,2,2,2,"
",Asheville,Wilson
1.30E+18,44083.65417,AshevillePolice,"#MISSINGPERSON: Brian Wesley Murray. Last seen in downtown Asheville on 8/30/20.

Info? 828-252-1110

@WLOS_13 @asheville @wyffnews4 @WSPA7 @foxcarolinanews https://t.co/6faba72FDE",1,1,photo,http://pbs.twimg.com/media/Ehe-R6GWAAIGEp1.jpg,Ehe-R6GWAAIGEp1.jpg,1,1,3,1,2,1,2,,Asheville,Wilson
1.30E+18,44084.81875,AshevillePolice,"APD is asking for help to locate #MissingPerson Alyssa Mcguire, 17. Last seen March 8, 2021 in #Asheville. She's 117 lbs and 4'9"" tall.",0,2,photo,http://pbs.twimg.com/media/Ehk-aIGXcAAu4Tk.jpg,Ehk-aIGXcAAu4Tk.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.30E+18,44082.65208,AshevillePolice,"APD detectives are seeking the public's help in locating Willis Demeatric Workman, 48, of Asheville- Wanted for breaking and entering with intent to terrorize and assault. Info? Call (828) 252-1110. If you wish to submit an anonymous tip, search ""Asheville PD"" in your app store https://t.co/RqmpE5F8RL",0,4,photo,http://pbs.twimg.com/media/EhZ0hs4X0AAF0m2.jpg,EhZ0hs4X0AAF0m2.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.32E+18,44131.50556,AshevillePolice,"📱anonymous tip on #TIP2APD app, or text 847411 w/ keyword ""tip2apd"".📞8282521110",0,0,photo,http://pbs.twimg.com/media/ElVZzcYXUAUKtBs.jpg,ElVZzcYXUAUKtBs.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.33E+18,44147.63611,AshevillePolice,Thank you to US Marshal Regional Fugitive Task Force &amp; @BuncombeSheriff for their help.,2,2,photo,http://pbs.twimg.com/media/EmoeM8DXIAAnMSy.jpg,EmoeM8DXIAAnMSy.jpg,1,1,3,2,2,2,2,"
",Asheville,Wilson
1.33E+18,44153.85486,AshevillePolice,@WLOS_13 @asheville @wyffnews4 @WSPA7 @foxcarolinanews @SpecNews1MTN @newsradio570 https://t.co/WvA9N5khdu,5,4,photo,http://pbs.twimg.com/media/EnIgI8aWEAAbWYg.jpg,EnIgI8aWEAAbWYg.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.35E+18,44224.59028,AshevillePolice,"Detectives asking for help to locate Oshua Peak, considered armed &amp; dangerous. Peak has 6 open warrants. #avlnews",6,5,photo,http://pbs.twimg.com/media/Es0xW2LW8AUZQ-w.jpg,Es0xW2LW8AUZQ-w.jpg,1,1,3,2,2,1,2,"
",Asheville,Wilson
1.24E+18,43908.80694,AshevillePolice,"📱Submit anonymous tip on #TIP2APD app, or text 847411, use keyword ""tip2apd"" &amp; include info. 📞8282521110",3,4,photo,http://pbs.twimg.com/media/ETajBH2X0AAZmUa.png,ETajBH2X0AAZmUa.png,1,1,3,2,2,2,2,"
",Asheville,Wilson
1.36E+18,44251.71528,AshevillePolice,@WLOS_13 @asheville @wyffnews4 @WSPA7 @foxcarolinanews @SpecNews1MTN https://t.co/M3nrESkcM8,1,8,photo,http://pbs.twimg.com/media/EvAeI5cXEAUe_Vx.jpg,EvAeI5cXEAUe_Vx.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.36E+18,44251.73194,AshevillePolice,Investigation ongoing.,1,9,photo,http://pbs.twimg.com/media/EvAjkznXIAM4rYW.jpg,EvAjkznXIAM4rYW.jpg,1,1,3,2,2,1,2,"
",Asheville,Wilson
1.26E+18,43952.93264,AshevillePolice,"APD makes arrest in west #Asheville armed robbery. Joseph Michael Johnson came into Mountain Energy store, pointed handgun at employee, demanded money. Charged with 1 county of robbery with a dangerous weapon. Fortunately, employee was no injured. #avlnews https://t.co/9uImBNB7Fx",1,3,photo,http://pbs.twimg.com/media/EW9yNBWX0AQow7W.png,EW9yNBWX0AQow7W.png,1,1,3,2,2,2,2,"
",Asheville,Wilson
1.25E+18,43945.74236,AshevillePolice,APD committed to addressing violent crime. #avlnews https://t.co/a8RHu43Npd,0,2,photo,http://pbs.twimg.com/media/EWYwR6tWsAga1nk.png,EWYwR6tWsAga1nk.png,1,1,3,2,2,1,2,"
",Asheville,Wilson
1.26E+18,43960.00069,AshevillePolice,"APD arrest serial sex offender, Michael Eugene Greenarch, in 1/20 River Arts District sexual assault. Also charges Greenarch in 2017 forcible sexual offense. #avlnews",0,3,photo,http://pbs.twimg.com/media/EXiL4cbWkAEnJKh.png,EXiL4cbWkAEnJKh.png,1,1,3,3,2,1,2,"
",Asheville,Wilson
1.26E+18,43957.53264,AshevillePolice,"APD is warning the public of a potentially dangerous batch of suspected fentanyl. Over a 48hr period from 1/14-1/16, APD responded to 5 deaths related to suspected overdoses. #avlnews",0,7,photo,http://pbs.twimg.com/media/EXVeAQRUEAEtmVP.png,EXVeAQRUEAEtmVP.png,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.38E+18,44292.73472,AshevillePolice,"Investigation into increasing gun violence results in the arrest of Devonte Lewis-Ellington, and Elijah Hassan. During the arrest, a stolen gun, drugs, &amp; over $3,000 were seized. #avlnews",71,201,photo,http://pbs.twimg.com/media/EyTtmJNWQAE9gSp.png,EyTtmJNWQAE9gSp.png,1,1,3,2,2,2,2,"
",Asheville,Wilson
1.38E+18,44307.81736,AshevillePolice,▪️ Lieutenant Brandon Moore,0,4,photo,http://pbs.twimg.com/media/EzhYhlfWUAAnOYX.jpg,EzhYhlfWUAAnOYX.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.38E+18,44305.57083,AshevillePolice,"▪️ Douglas Oeser, Crime Analyst",3,4,photo,http://pbs.twimg.com/media/EzV0TzTUcAsPSkX.jpg,EzV0TzTUcAsPSkX.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.46E+18,44502.60347,AshevillePolice,@WLOS_13 @foxcarolinanews @wyffnews4 @SpecNews1MTN @newsradio570 @WSPA7 https://t.co/eqF3QRYQ1j,87,179,photo,http://pbs.twimg.com/media/FDMfs2oXMAoS0mn.jpg,FDMfs2oXMAoS0mn.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.46E+18,44502.94306,AshevillePolice,@WLOS_13 @wyffnews4 @foxcarolinanews @WSPA7 @newsradio570 @SpecNews1MTN https://t.co/wotqFycbvV,2,4,photo,http://pbs.twimg.com/media/FDOPzCKWQAkWSDE.jpg,FDOPzCKWQAkWSDE.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.46E+18,44504.60139,AshevillePolice,@WLOS_13 @SpecNews1MTN @WSPA7 @wyffnews4 @newsradio570 @foxcarolinanews https://t.co/fguElYyeRo,2,3,photo,http://pbs.twimg.com/media/FDWymQJUYAA98AA.jpg,FDWymQJUYAA98AA.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
1.27E+18,44002.88056,CMPD,Go up in the air with our Aviation Unit.  Liftoff in t-minus... #FacebookLive #Clt #CharlotteNC ,21,42,photo,http://pbs.twimg.com/media/Ea_AqkpWsAU4ERa.jpg,Ea_AqkpWsAU4ERa.jpg,1,1,3,2,2,1,2,Missing,Charlotte,Wilson
